institute,field,why,expectations,level,advice,rating_value
TLV,הנדסת חשמל ואלקטרוניקה,המשך ישיר של הלימודים המקצועיים בתיכון,הקורסים דחפו ליצירתיות בפתרונות שמלווה אותי עד היום,התואר נותן רקע נרחב בתחומים רבים וומהווה סביבה בונה ומפתחת.,לקחת מסלול מחשבים הוא פותח אופציות נוספות להתפתחות ונותן המון כלים שימושיים,10
TLV,הנדסת חשמל ואלקטרוניקה,"רציתי ללמוד אלקטרואטפטיקה, בנוסף זהו מקצוע רחב וידעתי שאוכל למצוא את עצמי בו","מצאתי עבודה, ולמדתי אלקטרואופטיקה","תואר מעולה ומעניין, מקנה המון אפשרויות מקצועיות לעתיד",לקחת בקלות ולא להתרגש מהשנה הראשונה - השנים שאחר כך קשות יותר,9
TLV,הנדסת חשמל ואלקטרוניקה,בחרתי במסלול הזה בגלל אהבתי לחשמל ואלקטרוניקה,אני יודע בוודאות שבחרתי במה שמתאים לי ואני אוהב את המקצוע,"רמת הידע של המרצים גבוהה מאוד,אך לא תמיד הם יודעים ללמד","הקושי הגדול שהיה לי בלימודים הוא שהתחלתי ללמוד אחרי שהתחתנתי.הטיפ שלי-לא לוותר על מקצוע שאוהבים,עדיף ללמוד לפני שבונים משפחה,אבל גם אחרי-זה קשה,אך אפשרי!!!!!!!!!!!!",9
TLV,הנדסת חשמל ואלקטרוניקה,"תחום ההנדסה עניין אותי מאז ומתמיד, בחירת המסלול היתה צעד טבעי.","היה חסר יותר פרקטיקה, שדרושה כאשר משתלבים בתעשיה.","תואר מצוין, היחיד שמתחרה בו הוא התואר המקביל מהטכניון.",ללמוד כי רוצים ולא כי יש ביקוש למקצוע או משכורות גבוהות.,8
TLV,הנדסת חשמל ואלקטרוניקה,"למדתי אלקטרוניקה כבר בתיכון, וההמשך היה טבעי.","אופי העבודה, והאיזון בין עבודה לחיים פרטיים שונים מכפי שציפיתי בתחילה - אופי העבודה לא תואם לחלוטין לתוכן הקורסים הנלמדים בתואר.","סיפק לי את הכלים שהיה צריך, אך המתאם בין תוכן הקורסים לעבודה המעשית מעט נמוך, והיחס לסטודנטים לא היה טוב.","לדבר עם אנשים שכבר עובדים בתעשיה, ולתאם ציפיות.",8
TLV,הנדסת חשמל ואלקטרוניקה,טובה במתמטיקה אבל לא היו לי ציונים מספיק גבוהים להנדסת מחשבים,הרבה מבוא ומעט עבודה מעשית,התואר מקיף מאד ומעודד מחשבה עצמאית ובהחלט פותח דלתות לתעשייה אך הרקע המעשי שמקבל הסטודנט דורש השלמה ולכן חברות יעדיפו לקחת כבר מישהו עם ניסיון.,"בשנה הרביעית, כשהעומס קצת ירד, להתחיל למצוא עבודה אפילו של פעם בשבוע כדי שיהיה בקורות חיים קצת ניסיון.
בנוסף, תשוטטו בין המעבדות ותדברו עם הסטודנטים שעובדים שם וגם עם המרצים. סתם שיחות מיסדרון יכולות לסדר לכם דברים בראש ולעזור לכם להחליט אם אתם בכיוון שאליו רציתם לפנות.",6
TLV,הנדסת חשמל ואלקטרוניקה,"מאוד רציתי רפואה, הציונים לא עמדו בדרישות, הלכתי על הנדסה כאופציה ב'- תואר יוקרתי עם הרבה ביקוש","כרגע מאוד משעמם אותי המקצוע, הקושי גדול, והיחס של האוניברסיטה ככה ככה",כיתות עמוסות!!,תיכנסו לזה רק אם אתם מוכנים לוותר על כמה שנים מהחיים זה תובעני,5
TLV,הנדסת חשמל ואלקטרוניקה,עניין בתחומים שהתואר מכסה והזדמנויות בשוק העבודה.,"בשלב מוקדם זה קשה לומר, אך נראה לי שכן.","חלק מהמתרגלים טובים יותר וחלק פחות, אצל הטובים ביניהם הכיתה עמוסה בסטודנטים.
רמת התרגולים דיי טובה, אבל לרוב היא חזרה על השיעור, בחלקם על חשבון הצגת דרכי התמודדות עם בעיות ותרגילים.",לרענן את הפיזיקה והמתמטיקה לפני שמתחיל הקורס.,7
TLV,הנדסת חשמל ואלקטרוניקה,"זהו מסלול לימודים מרתק, המשלב לימודי מתמטיקה, פיזיקה, ואלקטרוניקה, ובסוף מגיע לרכיבים זעירים המצויים היום בכל מכשיר חשמלי בו אנו משתמשים. אני מאוד אוהב את התחום ורוצה לעסוק בו.","בהחלט. אני מרגיש מאותגר, לא קל ללמוד הכל, אך אם מנסים להבין וליהנות, ולא רק לסיים את התואר, זה ממש מעניין.","לרוב מעולה, פה ושם נתקלים במתרגלים לא טובים שלא עובדים מסודר, ולא ממש יודעים איך ללמד. רובם לא כאלה.","פנו את השנתיים הראשונות להתרכז בלימודים, תתחילו לעבוד משנה ג' כדי לצבור נסיון.",8
TLV,הנדסת חשמל ואלקטרוניקה,זיקה לתחום ששירתתי בצבא,כלל התחומים ששיערתי שהתואר ייגע בהם נלמדים בתואר הזה.,"רמת המתרגלים גבוהה מאוד, יש אופציה לשיעורי עזר. הבעיה העיקרית היא בכמות התלמידים בכל הרצאה.",להתחבר לכמה שיותר סטודנטים שניתן. הם יעזרו לכם באמת שתהיו בבעיה.,6
TLV,הנדסת חשמל ואלקטרוניקה,מסלול קשה ומאתגר ויש בזה מלא כסף,"ידעתי מראש מה אני הולך ללמוד וצפיתי שזה יהיה קשה, וכן","יש מלא סטודנטים בהרצאות ואם אתה יושב מאחורה אז עדיף לך לצאת. המתרגילים רובם טובים חלקם מבולבלים, שיעורי עזר ממליץ בחום וכדאי לנסות לקחת עם כמה מורים",לחרוש.. וללמוד כל הזמן למבחן ולעשות שיעורי בית.. ותלמדו מהנסיון שלכם ואל תקשיבו לכל אחד שמספר לכם משהו ..יכול להיות שזה לא רלוונטי לכם,7
TLV,הנדסת חשמל ואלקטרוניקה,"מקצוע ריאלי, שאינו בפקולטה למדעים מדויקים, לא תואר קשה כמו פיזיקה/מתמטיקה.",התואר דורש הרבה מאוד השקעה.,"הרצאות של עד 160 איש, רמת מתרגלים משתנה מטובים מאוד לגרועים.",לחשוב טוב אם מוכנים להשקיע כמות נכבדת מאוד של השעות ביממה ללימודים.,5
TLV,הנדסת חשמל ואלקטרוניקה,יש לזה המון ביקוש וזה נושא מגוון מאוד.,"אין לי עניין בלימודים. אף לא בקורס אחד.
אבל יש עבודות מאוד מעניינות אם מצליחים ליפול על משהו שמתאים לך.",וזה רק בגלל שאני סמסטר אביב מה שאומר שהכיתות שלנו יותר קטנות. וגם בגלל שלמתרגלים מאוד איכפת והם לעומת המרצים דווקא יותר נותנים מעצמם.,"אל.
פשוט אל.",8
TLV,הנדסת חשמל ואלקטרוניקה,אוהב חשמל ואלקטרוניקה,מרצים ומתרגלי מתנשאים בחלקם שלא תמיד מעבירים את החומר בצורה ברורה ומלאה,מתרגלים לפעמים לא יודעים מעבר למה שהם צריכים להעביר בתרגול,"להשקיע המון ולא להשאיר לאח""כ",6
TLV,הנדסת חשמל ואלקטרוניקה,זהו מסלול מעניין ומאתגר הפותח אופציות רבות בעתיד ביציאה לשוק העבודה,"כרגע אני רק בשנה הראשונה, אך לדעתי בהמשך הלימודים יתחילו לעניין אותי יותר","המתרגלים מנסים לעזור כמה שיותר אך לא תמיד בהצלחה, שיעורי הבית סבירים ולא קשים במיוחד אך כמו הסטודנטים בהרצאות רב מידי.","להגיע בראש של- ""תחשוב טוב, יהיה טוב"" לא להילחץ יותר מידי בהתחלה ולאט לאט העניינים יזרמו.",7
TLV,הנדסת חשמל ואלקטרוניקה,אוהב את התחום,"אוהב מקצועות ריאלים,עד עכשיו רוב הקורסים הם כאלו","הרוב מעבירים את התירגול בצורה טובה,חלק לוקים ביכולת להסביר את החומר","תני מעצמכם את המקסימום,אבל,תתנו גם זמן לעצמכם,למה שעושה לכם טוב",8
TLV,הנדסת חשמל ואלקטרוניקה,"עניין אותי, ראיתי שצריך עכשיו מהנדסי חשמל בשוק העבודה אז הלכתי על זה","יותר קשה ממה שציפיתי, אבל אכן מעניין מאוד","כפי שנאמר קודם, כל המתרגלים היו מקצועיים מבחינת ידע החומר, וכן לגבי סנכרון התרגול עם השיער פרט למתרגל אחד. כמות הסטודנטים בתרגולים בדרך כלל גדולה יותר מבשיעורים, ולעיתים אף באופן משמעותי.","להשקיע ולא לעשות הרבה שטויות במהלך הסמסטר-אתם תתחרטו!
וגם להעביר את כל המשחקים והסדרות על המחשב לכונן אחר ושאיזה חבר יחביא לכם אותו עד סוף השנה, ולקבוע לעצמכם יומיים של בילויים ובכל השאר תשקיעו טוב טוב טוב בלימודים!",9
TLV,הנדסת חשמל ואלקטרוניקה,"בשביל הכסף אח""כ",יש כסף בסף התואר,המתרגלים טעונים שיפור,לברוח מהר! אלא אם כן הם ממש אוהבים כסף ומוכנים לסבול.,4
TLV,הנדסת חשמל ואלקטרוניקה,תמיד התעניינתי ואהבתי את מה שקשור לחשמל...,זהו מקצוע שתמיד חלמתי עליו!,המתרגלים באמת עושים מאמץ גדול כדי לעזור לסטודנטים להבין את החומר,להשקיע בלימודים!!!!!!!!!!!!!,8
TLV,אומנות התיאטרון,שני התחומים מאד עניינו אותי ורציתי גם לבדוק את השילוב ביניהם,שילוב בין היסטוריה ותיאטרון היה מסקרן והרבה פעמים איפשר להסתכל על הדברים מזוויות שונות,רוב הקורסים שלמדתי הצליחו לגרות את הסקרנות שלי ולהעמיק את הידע הקיים.,להאזר בסבלנות ולהיות מוכן לגלות דברים מעניינים בקצב מסחרר,8
TLV,אומנות התיאטרון,מדובר בתחום שאני רוצה לעסוק בו בחיי,הייתי מעוניינת ביותר קורסים מעשיים.,ברמה הכללית בסדר אבל אין ממש שיעורי עזר או תרגול בתחום זה,ללכת לתחום התיאטרון הקהילתי זהו התחום החזק ביותר של המוסד,5
TLV,אומנות התיאטרון,מאז ומתמיד הלכתי לראות הצגות..העולם הזה משך אותי,כן,סבבה,"תואר כייפי, לא שגרתי, לפעמים קצת שכונה, למה לא..",7
TLV,אומנות התיאטרון,מתוך אהבה לתחום ורצון לחקור אותו ולהתמקצע בו,"לרוב מרגישה שכן, יש תמיד מקום לשיפור",תמיד יש מקום לשפר.,"התואר באמנות התאטרון באוניברסיטה מיועד למי שרוצה באמת ללמוד על המקצוע בהיבט רחב, להתנסות בבימוי, משחק, כתיבה והפקה.
זהו לא בית ספר למשחק אלא פלטפורמה להתנסות, לחוות, ללמוד ולצאת עם תואר ראשון ביד.",8
TLV,אומנות התיאטרון,בגלל התיאטרון הקהילתי- עבודה עם קבוצות שונות בקהילה דרך כלי התיאטרון.,אני מרוצה.,הרמה טובה בעיניי.,לקחת כמה שיותר קורסים שמעניינים אותך ולא לעשות את התואר הזה כבדרך אגב כי הדרך יותר חשובה מהתוצאה.,8
TLV,אומנות התיאטרון,כי אני אוהבת תיאטרון ומחזות,ציפיתי ליותר שיעורים מעשיים ופחות זיקה פוליטית בחלק מהשיעורים,רמה טובה אין עומס בכיתות,תמצאו משהו יותר כלכלי ללמוד :),7
TLV,אומנות התיאטרון,"כי תמיד הייתי שחקנית ונמשכתי לתחום, גם יש לי ניסיון בו",חסרים שיעורי משחק ובימוי,"מעט סטודנטים, יחס אישי",להאמין בעצמם,8
TLV,אומנות התיאטרון,"מתוך הרצון להיחשף למצע רחב ביותר שקשור לאומנות התיאטרון. ללמוד באופן אקדמי ולצאת עם תואר ראשון, ללמוד מגוון תחומים במסגרת התואר הראשון תוך מחשבה על מיקוד לתחום התמחות בלימודי תואר שני","ציפיתי שיהיו יותר שיעורים שמתמקדים בבימוי, לצערי האפשרויות הרחבות קיימות רק בתואר השני","ברוב הקורסים הנוכחות גבוה למרות שלא נבדקת, לדעתי קיימים קורסים שהמרצים בהם יכולים לדרוש יותר מהסטודנטים ממה שהם דורשים בפועל","לצאת מנקודת הנחה שאם אתם לא מוכנים לתת מעצמכם הרבה, לא תקבלו יותר מדי מהתואר",7
TLV,אומנות התיאטרון,"תיאטרון תמיד היה חלק מהחיים שלי וזו הייתה הבחירה הטבעית, מגדר עניין אותי ורציתי לשלב בין השניים.","המסלול של לימודי מגדר בהחלט עונה על הציפיות שלי, הוא מציע המון אפשרויות וגיוון. המסלול של תיאטרון דל יחסית ואין מספיק אפשרויות לבחירה.",בקורסי מבוא/ חובה יש יותר סטודנטים מאשר בקורסי בחירה או סמינרים. רמת הלימודים גבוהה.,"הייתי מוותרת על לימודי תיאטרון באוניברסיטה ובודקת אופציות אחרות- או בבי""ס למשחק או חוגים אחרים, כמו למשל הרב- תחומי באמנויות שכולל בתוכו גם תיאטרון.",8
TLV,אומנות התיאטרון,רציתי לשלב בין שתי האהבות שלי - תיאטרון וקולנוע,"כשבוחרים ללכת על דו חוגי, אי אפשר באמת לחוות לעומק כל חוג. ככה יוצא שלומדים בעיקר חומר עיוני מאשר להתנסות בפרקטיקה","זה משתנה. בקולנוע יש יותר נוכחות. בתיאטרון זה תלוי בקורס. לרוב לא קוראים נוכחות, אז חצי מהכיתה תהיה ריקה אם השיעור הוא ב8 בבוקר או שיעור מייגע..במעבדות (החלק המעשי) הנוכחות היא חובה והסטודנטים באים כי כיף להם, לא כי הם חייבים (לרוב)",אולי שיתמקדו בחוג אחד.,6
TLV,אומנות התיאטרון,"חיפשתי מסלול לימודים שיש לי חיבור אליו ושמעניין אותי, אך שיהיה גם פרקטי לעתיד ורלוונטי לשוק העבודה.","חסרו לי בשנה הראשונה קורסים מעשיים. רוב הקורסים היו עיוניים, וזה הוציא לי קצת את החשק להמשיך ללמוד.","רמת הלימודים בינונית לדעתי, גם בשל החלוקה הבלתי שווה בין קורסים מעשיים לעיוניים, גם מבחינת רמת העניין של החומר הנלמד בקורסים-( בהרבה קורסים זה מרגיש יותר כמו היסטוריה או פילוסופיה מאשר כמו תיאטרון), וגם מבחינת אי-המקצועיות של אחת מן המתרגלות שאיתה למדתי ה","לדבר אם בוגרים או אנשים שנמצאים כרגע בתוך המסלול, כי הם יוכלו לתת את המידע הכי אמין ומדוייק, וללא אינטרסים.",7
TLV,אומנות התיאטרון,באתי מהפות חובבים ועניין אותי התחום של הפקות ועשיה תאטרונית.,הוא חושף הרבה דברים שלא הכרתי אבל בעיקר בטעימות ואין ממש מיקוד.,עדין חסרים המון כלים ומיקוד אצל הרבה מאד מרצים . והמחסור במסלולים ממקודים או ביותר שיעורים בנושאים מסויימים גורם להתפזרות.,"אם ברצונך ללמוד משחק לך ללמוד בבי""ס למשחק, פה חוקרים בפיזור מוחלט.",8
TLV,אומנות התיאטרון,כי רציתי ללמוד תיאטרון,"למדתי המון, הרגשתי שגם התנסתי בכל מיני דברים.
ובעיקר הייתה אוירה שכיף ללמוד בה ומורים שכיף ללמוד מהם.",כמות סטודנטים סבירה שיעורי מעבדה מעולים מתרגלים היו בסדר גמור רוב הזמן יש אתגר אינטלקטואלי,"תבואו פתוחים. תיאטרון זה לא רק משחק, זה עולם שלם. ואם אתם רוצים להיות שחקנים ואתם יודעים את זה, תבואו, תעשו תואר ואז תלכו ללמוד משחק.",8
TLV,אומנות התיאטרון,החלטתי לעשות תואר בתחומים שמעניינים אותי ואלו שני התחומים המעניינים ביותר מבחינתי,"באומנות התיאטרון ציפיתי שהדגש יהיה על משחק אך החומר הוא יותר עיוני ופחות מעשי והדגש הוא על כל היבטי התיאטרון , בארכאולוגיה יש הרבה מבואות אבל החפירה הלימודית הייתה מאוד מעשירה ומהנה ולימודי שנה הבאה יהיו יותר ממוקדים כך שיהיה יותר מעניין",רמת הלימודים בשני המסלולים שלי טובה בארכאולוגיה יש קצת פחות סטודנטים . יש קורסים פחות מעניינים ואז אם אין חובת הגעה הם לרוב לא יהיו הכי מלאים,"לבדוק כמה אוניברסיטאות ולבדוק אילו קורסים מוצעים במסגרת החוג, בכדי להבין האם זה תואם את הציפיות או את תחומי העניין",9
TLV,אומנות התיאטרון,זה התחום שהכי עניין אותי,פחות מדי מעשי,"מתרגלת ברמה הרבה יותר נמוכה מהמרצים, כמות סטודנטים סבירה (25-50)","מי שרוצה להתנסות יותר ממה שהחוג מציע צריך ליזום ולנסות להשתלב בדברים ה""לא רשמיים"" של החוג",7
TLV,אומנות התיאטרון,מכיוון שרציתי ללמוד תיאטרון אך רציתי ללמוד זאת במקום המספק גם תואר וגם לימודי תיאטרון,יש מקום ליותר שיעורים מעשיים,הרמה די גבוהה,אני ממליצה להגיע ליום הפתוח ולדבר עם סטודנטים שכבר לומדים בחוג על מנת לקבל תמונת מצב,7
TLV,אומנות התיאטרון,כי אני רוצה להעמיק את הידע בתיאטרון ובשביל החוויה,"יש תכנים מגוונים, מעשיים ועיוניים.",רמה גבוהה משקיעים בתלמיד,תבואו רעבים להצלחה,9
TLV,אומנות התיאטרון,"תיאטרון הוא תחום שעסקתי בו מגיל צעיר מאוד; חוגי דרמה, מגמת תיאטרון ביסודי ובתיכון והשתתפות בהצגות וקלטות ילדים שונות. תואר בתחום היה נראה ההמשך הטבעי. יחד עם זאת, לא הייתי בטוחה שארצה לעסוק רק בתיאטרון פר סה, ובחרתי גם ברב תחומי אומנויות, שמשלב קולנוע, מוזיקה ואומנות.","הייתי שמחה לעוד כמה קורסים מעשיים, שבהם מיישמים פרקטיקה תיאטרונית. לצערי, יש מעט שיעורים כאלה. ברב תחומי יש יותר מדי קורסים שלא שייכים באופן טהור לרב תחומי, אלא להיסטוריה כללית, או פילוסופיה, וזה קצת מעיק ללמוד דברים שלא תכננתי, ואז הרב תחומי תמיד קצת בפיגור כללי. אבל בסופו של דבר זה משתלם ומרחיבים אופקי ידע, אז הכל לטובה.","יש שיעורים עם מתרגלים, אך לא רבים. כמות הסטודנטים בשיעור ממש לעיתים רחוקות גדולה מדי. לרב הכיתות סבירות","זה כיף ונחמד ומעניין, אבל להבדיל מתואר יותר קונקרטי, העתיד המקצועי לוטה בערפל.",7
TLV,אומנות התיאטרון,שני תחומים שיש לי בהם עניין,"הקורסים משתנים בין השנים, ציפיות לא ברורות לפני תחילת הלימודים.",משתנה בין קורס לקורס במזה''ת יש קורסים עם 300 ויותר סטודנטים בהרצאה ויש קורסים מצומצמים מאוד עד 10 ופחות...,פשוט לנסות להנות מהכל!,7
TLV,אומנות התיאטרון,"כי תיאטרון זה הדבר שאני הכי אוהבת בעולם כולו, ואין דבר שאני יותר רוצה מלעסוק בתיאטרון וליצור תיאטרון.","החלק העיוני מדהים, החלק המעשי לוקה בחסר, בייחוד בתואר ראשון בקורסים שאינם מתמחים במשחק.","רמת הלימוד יחסית גבוהה, אבל בייחוד בפן העיוני-מחקרי.",להשקיע את כל מה שיש להם,8
TLV,אומנות התיאטרון,"בעיקרון,הלכתי ללמוד תיאטרון מתוך עניין אבל מתוך מטרה לעבור לקולנוע אחרי שנה,מאחר שלתיאטרון היה יותר קל להתקבל וזה היה נראה לי יותר תורם מלעשות פסיכומטרי. מאחר שהייתי מאוד מרוצה ושמעתי דברים לא טובים על התואר הראשון בקולנוע החלטתי להשלים את התואר ולעבור לקולנוע בתואר שני.","השיעורים והמרצים העיוניים ברובם מעולים,והשנה היו לי גם שיעורים מעשיים שעניינו אותי,הבעיה היא שבשנים הבאות רוב השיעורים המעשיים הם במשחק וזה לא כל כך מעניין אותי.למי שרוצה ללמוד משחק יש יכולת לבנות מערכת מובנית עם הרבה שיעורים ולמי שרוצה ללמוד כתיבה,בימוי,דרמטורגיה וכו' לא.למי שרוצה ללמוד עיצוב או תאורה יש אולי קורס אחד בנושא.חבל.זה לא מוגדר כתואר במשחק אז לא ברור למה כשיוצאים מהתחום העיוני רוב השיעורים הם במשחק.",רמת המרצים הינה לרוב גבוהה. כמויות סטודנטים מניחות את הדעת לרוב גם בקורסים שהנוכחות בהם אינה חובה.,לבדוק טוב טוב את הידיעון והקורסים המוצעים בהקשר למה שהם רוצים לעשות ולמה שקיים בשוק.לדעת טוב מאוד למה הם רוצים ללמוד תיאטרון דווקא באוניברסיטה ולא בבית ספר למשחק למשל ומה האוניברסיטה יכולה להקנות להם בהתאם למה שהם רוצים.מומלץ גם לדבר עם סטודנטים.,8
TLV,אומנות התיאטרון,"מכיוון שזהו התחום בו אני מעוניין להתעסק בחיי בפן המקצועי, ואולי גם בחברתי. אמנם יש מקומות נוספים שיותר קשורים למשחק שבהם אפשר להתפתח לכיוון זה יותר, אך ראיתי שיש לי מחסור בתחומים עיוניים ולכן בחרתי לעשות תואר ולא רק תעודה.","הקורסים מיועדים בעיקר לכתיבה ורקע על עולם התיאטרון, אין מספיק כיוון למי שרוצה להיות שחקן בצורה ישירה. יש מס' מעבדות שניתן לקחת, אך הרבה עיוני ולא לכיוון בהכרח של משחק על הבמה עצמה.","יש כ40+ תלמידים בדרך כלל בכיתה, שזה מספר קטן יחסית לרגיל אך לא מבוטל. לא הייתי בשיעורי תרגול.","לראות מה הם באמת רוצים להוציא מהתואר, ולא לרוץ לעשות אותו כי זה תואר. התואר מפוזר מבחינת התכנים שהוא נותן כיוון שהוא צריך ליצור גם מפיקים, גם במאים וגם שחקנים וכו'. באם מדובר בשחקן מומלץ לבדוק בסמינר הקיבוצים, סופי מוסקוביץ', יורם לווינשטיין או ניסן נתיב בשביל לקבל נסיון במשחק. זה אמנם לא תואר, אך הנסיון יקר מפז והרבה יותר רלוונטי מבחינת החשפות לתחום.",8
TLV,אומנות התיאטרון,כי אני אוהבת תיאטרון ורציתי תואר אוניברסיטאי!,חסר לי יותר שיעורים מעשיים אבל חוץ מזה אני מאוד מרוצה והחומר מעניין,גבוה ומעניינת!,שיבואו רק אם הם באמת אוהבים תיאטרון ויש להם תשוקה אמיתית לזה כי אם לא זה סתם בזבוז זמן!,8
TLV,אומנות התיאטרון,"זה המקום היחיד שיש בו לימודי משחק, שקרוב אלי הביתה והוא תואר!","כן, ידעתי שחלק מהלימודים יהיו מעשיים וחלקם עיוניים, אז לא התאכזבתי ומצאת את הנישה שלי.",יש רק שיעור תרגול אחד.,"מי שרוצה לימודי משחק לא תובעניים, כמו מעין חוג לדרמה ולעשות תואר תוך כדי - מוזמן. מי שרוצה להיות אך ורק שחקן ומוכן ללמוד זאת באופן תובעני שילך ללמוד בבתי ספר פרטיים למשחק.",6
TLV,אומנות התיאטרון,בחרתי את המסלול כי אני מאוד אוהבת תאטרון וספרות.,הקורס גורם לי להתוודע לצורות מחשבה שונות ומגוון רחב של תאורטיקנים,היתה לי מתרגלת מדהימה בספרות בשם יעל סגלוביץ ,לבדוק מה באמת מעניין אותם ולהחליט. מי שרוצה להיות שחקן כדאי שיבחר בלימודים בבית ספר למשחק. לבוגרי בתי ספר זו אפשרות טובה להרחיב את הידע,10
TLV,מדע המדינה,מתוך עניין אישי,"התואר יחסית היה מעניין, אבל אין מה לעשות איתו בשוק העבודה וזה מתוך ניסיון",.,"תשוו בין התארים בכל האוניבריסטאות , קחו בחשבון שהוא לא תואר יישומי , אלא אולי אם הולכים לפוליטיקה ( או לעבוד בבנק, לא ברור למה ), ברור איפה ישנה האופציה לעשות פרקטיקום",6
TLV,מדע המדינה,"מתוך רצון לשפר את הידע הכללי, לא קשור לתחום העבודה",הקורסים התיאורטיים לא נתנו בסיס נרחב להמשך התואר,"תואר מעניין, למדתי הרבה",מסלול עיוני אך מעניין מאוד. לבוא עם ראש פתוח,7
TLV,מדע המדינה,אני מעוניינת להמשיך להתעסק בתחום התקשורת. מדע המדינה נבחר בתור ברירת מחדל להשלמה לדו-חוגי עם תקשורת.,"לא היו לי ציפיות גבוהות מדי, היו קורסים מעניינים יותר ומעניינים פחות. ידעתי שאין חלק מעשי באוניברסיטה ולכן לא התאכזבתי","שני המסלולים מאוד מעניינים, לומדים הרבה דברים חדשים. יש מגוון גדול יחסית לקורסים. המזכירויות מאוד נחמדות ועוזרות.","לבוא עם ראש פתוח לתכנית הלימודים, הטוב מגיע בסוף",9
TLV,מדע המדינה,מתוך עניין,לא היה מספיק מחובר למציאות,היה יכול להיות יותר פרקטי ומכווין,"ללמוד זאת רק אם יש רצון להמשיך באקדמיה ובעלי עניין רב , לא לבנות על המקצוע לעתיד",6
TLV,מדע המדינה,עניין אישי,המסלול ענה על הציפיות ופתח מרחבי פעולה חדשים,"בהשוואה למוסדות אחרים, רמת התואר גבוהה מאוד",רק אם אתם אוהבים,8
TLV,מדע המדינה,"1. עניין רב בתהליכים מדיניים.
2. רצון לחקור את התחום.","שנה א', הרבה מבואות, ונושאים שלא מעניינים ולאו דווקא ישמשו אי פעם.",סך הכל לא רע.,"לשקול אפשרויות:
1. אוניברסיטה - נוכחות חובה בחלק מהתרגולים, מעצבן. מי שלא אוהב ללמוד לבד, זה חיובי עבורו.
2. אוניברסיטה פתוחה - גמישות, אבל אפשר להגרר עם זה יותר מדי, וסוגיית השם והיוקרה.
3. מכללה - ממליץ על הבינתחומי, שם יש פרוייקטים וכל סטודנט מפתח נטוורקינג, שזה מה שחשוב באמת לתחומים כאלו. הבעיה היא העלות.",6
TLV,מדע המדינה,"עניין אותי ללמוד על כל הקשור ביחסים בינלאומיים כיוון שאני מעוניינת לעסוק בתחום בעתיד. בנוסף, לימודי ההיסטוריה של המזרח התיכון יכולים לתרום רבות לידע.","במדעי המדינה אלו כרגע מבואות בלבד, לכן הלמידה היא תיאורתית בלבד מה שנראה קצת משעמם. מקווה שבשנה ב' נוכל לבחור תחומי התמקצעות ואז זה יהיה מעניין יותר.","מדעי המדינה - יחסית ברורים אך רצים מהר עם החומר ולא עוברים על הכל. קורס מקורות - מתרגלים לא משביעי רצון.
מזה""ת - טובים.",לברר במדוייק מה נלמד בכל קורס.,4
TLV,מדע המדינה,"אני מאוד מתעניינת במדעי המדינה, וסוציולוגיה אנתרופולוגיה זה תואר שיכול להוסיף הרבה לכל מה שלומדים.",נכון לעכשיו מרגישה שעונה באופן מלא על הציפיית שלי..,"קשה לדרש באופן כללי, אבל מאוד מרוצה!","מעניין וכיף, אל תפחדו",8
TLV,מדע המדינה,"בחרתי במסלול כי אני מתעניינת בעבודה עם ילדים עם לקויות למידה והפרעות קשב וריכוז. השילוב עם מדע המדינה הוא מתוך עניין, ומתוך רצון לשלב את הידע הזה עם הידע בחינוך לעבודה במגזר השלישי.",המסלול ענה על הציפיות שלי ואף התעלה עליהן מבחינת החוג של מדע המדינה. מבחינת החוג לחינוך החוויה בינתיים מאכזבת- השיעורים לא כל כך מסקרנים ומאתגרים כמו בחוג השני.,בחוג לחינוך יש פחות סטודנטים בהרצאות אבל הרמה של החומר המועבר בדר״כ פחות מאתגרת. בחוג למדע המדינה יש הרצאות למספר גדול יותר של סטודנטים אבל הן בדר״כ מאוד מעניינות ומסקרנות. גם המאמרים שצריך לקרוא לשיעורים המדע המדינה מאוד מעניינים.,לוודא שהחוג לחינוך באמת מתאים למה שהם מחפשים. למצוא עבודה נוחה לפני תחילת הלימודים כך שתהיה גמישות בתקופות עמוסות של מבחנים ועבודות. לקרוא ולהתעניין בפוליטיקה עכשווית ובהגות פוליטית קלאסית כדי לקבל קצת רקע לפני הלימודים.,8
TLV,מדע המדינה,בחרתי במסלול זה כי לא היה משהו אחר שעניין אותי ללמוד.,"החוג למדעי המדינה מפתח את החשיבה ומעניק ידע רב.
החוג לתקשורת לא ענה כלל על הציפיות, חלק מהקורסים לא מעניקים ידע רב.","גם כאן, ישנם מתרגלים שאוהבים להעביר את השיעורים וישנם כאלו שיושבים על הכיסא במהלך כל השיעור ומעבירים את השיעור בחוסר כריזמטיות.","על החוג למדעי המדינה אני ממליצה, למרות שבתחילת המסלול חשבתי אחרת.
על החוג לתקשורת אינני ממליצה.",7
TLV,מדע המדינה,עניין אותי הנושא,חלק מהקורסים נראים לי רלוונטיים בעוד שאחרים נראים לי לא קשורים.,רמת ההרצאות לרוב היא גבוהה אולם איכות המתרגלים והצפיפות מקשה ופוגמת בלימוד.,"תגיעו עם ראש פתוח וסבלנות, יהיו קורסים שאתם תרגישו שלא נוגעים לכם, אבל אין ברירה.",5
